Manufacturer;Motor;Weight;Prop Diam;Prop Pitch;Blades;Power(W);Eff Max(%);Thr Pwr(%);Real Pwr(W);Eff Pwr(%);Thrst Pwr(g);Traction_0kmh;Traction_9kmh;Traction_18kmh;Traction_27kmh;Traction_36kmh;Traction_45kmh;Traction_54kmh;Traction_63kmh;Traction_72kmh;Traction_81kmh;Traction_90kmh;Traction_99kmh;Traction_108kmh;Traction_117kmh;Traction_126kmh;Traction_135kmh
T-Motor;T-Motor V505-260;965;20;12.0;2;1084.5;85.9;95;560.9;85.9;1592;5811;5776;5670;5494;5248;4932;4545;4088;3561;2963;2295;1556;748;-;-;-
T-Motor;T-Motor U7-280 V2;998;20;11.0;2;1101.8;88.2;96;581.2;88.2;1592;5646;5609;5499;5316;5059;4729;4326;3849;3299;2675;1979;1208;365;-;-;-
T-Motor;T-Motor MN505-S KV320;965;18;10.0;2;1192.6;87;91;593.7;86.9;1592;5778;5749;5660;5512;5305;5039;4714;4330;3886;3384;2822;2201;1521;782;-;-
T-Motor;T-Motor U7-280 V2;998;20;12.0;2;1157.2;87.4;96;629.7;87.4;1740;5955;5920;5814;5638;5392;5076;4689;4232;3705;3107;2439;1700;892;13;-;-
T-Motor;T-Motor MN601-S KV320;988;18;10.0;2;1180.8;88.3;91;585.2;88.2;1592;5767;5737;5649;5501;5294;5028;4703;4318;3875;3372;2811;2190;1510;771;-;-
T-Motor;T-Motor MN505-S KV320;965;18;11.0;2;1266.3;87.2;90;633.1;87.1;1740;6184;6156;6071;5930;5732;5478;5168;4801;4378;3898;3362;2769;2120;1415;653;-
