marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
SunnySky;SunnySky X6212S-300;;1056;;19;11.0;2;1234.0;6012;5979;5882;5721;5492;5201;4853;4429;3945;3395;2782;2104;1361;553;-;-;81.7;74.35128805620609;600;83.5216237314598;3788.697111631538
T-Motor;T-Motor MN605-S KV320;;1056;;18;9.0;2;1230.7;5776;5745;5652;5497;5277;4998;4664;4257;3792;3265;2676;2025;1312;537;-;-;89.5;75.81637168141593;600;89.43761061946903;3642.75
T-Motor;T-Motor MN505-S KV380;;1065;;18;7.0;2;1196.6;5726;5692;5590;5419;5178;4871;4504;4057;3546;2967;2319;1604;820;-;-;-;86.8;71.30939226519337;600;87.9;3311.160220994475
T-Motor;T-Motor MN505-S KV320;;965;;20;9.0;2;1445.9;6472;6432;6312;6112;5829;5469;5039;4514;3915;3236;2477;1638;719;-;-;-;83.6;68.91633466135458;600;85.60278884462151;3662.9442231075695
T-Motor;T-Motor MN505-S KV320;;965;;19;11.0;2;1445.9;6792;6760;6663;6501;6272;5981;5634;5209;4725;4176;3562;2884;2141;1334;452;-;83.6;69.05524419535628;600;85.59815852682146;3850.8799039231385
SunnySky;SunnySky X6212S-340;;965;;18;10.0;2;1442.1;5795;5765;5676;5528;5319;5052;4734;4346;3902;3400;2838;2217;1537;798;-;-;80.2;72.50920679886686;600;82.41402266288952;3574.5446175637394
Scorpion;Scorpion SII-4025-330;;1056;;18;9.0;2;1279.3;5641;5610;5517;5362;5142;4862;4529;4122;3657;3130;2541;1890;1177;402;-;-;88.4;75.8197548666186;600;89.49343907714493;3643.0230713770725
T-Motor;T-Motor MN605-S KV320;;1106;;18;10.0;2;1169.5;6270;6241;6152;6004;5795;5528;5210;4822;4378;3876;3314;2693;2013;1274;466;-;89.3;73.76042356055592;600;89.45029781601589;3772.9351422898744
T-Motor;T-Motor MN701-S KV280;;1065;;20;9.0;2;1286.2;5999;5959;5839;5640;5357;4996;4567;4042;3443;2764;2005;1166;247;-;-;-;90.2;75.53984575835476;600;90.37566409597258;3799.860325621251
SunnySky;SunnySky X6212S-300;;1056;;20;10.0;2;1192.4;6141;6102;5988;5796;5525;5180;4768;4265;3691;3041;2314;1510;630;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN505-S KV320;;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;19;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN505-S KV380;;-;;18;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6212S-300;;-;;20;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6212S-340;;-;;18;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;19;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;18;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;18;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN701-S KV280;;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6212S-340;;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;18;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN505-S KV380;;-;;19;7.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN505-S KV380;;-;;18;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN4120-400;;-;;18;7.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN701-S KV280;;-;;20;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor F1000-300;;-;;19;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;20;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;19;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;19;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor P60-340;;-;;18;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN705-S KV260;;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor F1000-300;;-;;19;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;20;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN505-S KV380;;-;;18;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN705-S KV260;;-;;20;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4035-330;;-;;18;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6215S-350;;-;;18;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN4120-400;;-;;18;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor F1000-300;;-;;20;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN701-S KV280;;-;;20;12.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor P60-340;;-;;18;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;20;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;19;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;20;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN505-S KV380;;-;;19;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;19;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;19;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor P60-340;;-;;19;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6215S-350;;-;;18;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion HK5-4026-385;;-;;18;7.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor F1000-300;;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;19;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;20;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN705-S KV260;;-;;20;12.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4035-330;;-;;19;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6215S-350;;-;;19;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4035-330;;-;;18;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion HK5-4030-355;;-;;18;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor P60-340;;-;;18;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN4120-400;;-;;18;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;20;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6215S-350;;-;;18;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor P60-340;;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4035-330;;-;;18;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion HK5-4030-355;;-;;19;7.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion HK5-4030-355;;-;;18;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X4130-380 V3;;-;;18;7.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor F1000-300;;-;;20;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion HK5-4026-385;;-;;18;8.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT4130-300 (Long Shaft);;-;;20;11.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN605-S KV320;;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4035-330;;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
SunnySky;SunnySky X6215S-350;;-;;19;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4035-380;;-;;18;7.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor F1000-300;;-;;20;12.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor P60-340;;-;;19;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor MN4120-400;;-;;18;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
Scorpion;Scorpion SII-4025-330;;-;;20;10.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
T-Motor;T-Motor AT7215-270;;-;;20;9.0;2;N/A;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;Err;Err;N/A;Err;Err
