marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
T-Motor;T-Motor V505-260;;-;;20;12.0;2;N/A;5811;5776;5670;5494;5245;4928;4550;4088;3561;2963;2295;1556;748;-;-;-;82.1;78.51869158878505;600;83.67777036048065;3975.5340453938584
T-Motor;T-Motor U7-280 V2;;965;;20;11.0;2;1084.5;5646;5609;5499;5316;5056;4725;4330;3849;3299;2675;1979;1208;365;-;-;-;80.6;77.2316384180791;600;82.97683615819209;3833.677966101695
T-Motor;T-Motor MN505-S KV320;;998;;18;10.0;2;1101.8;5778;5749;5660;5512;5303;5036;4718;4330;3886;3384;2822;2201;1521;782;-;-;85.4;75.8601134215501;600;86.57542533081285;3692.164461247637
T-Motor;T-Motor U7-280 V2;;965;;20;12.0;2;1192.6;5955;5920;5814;5638;5389;5072;4694;4232;3705;3107;2439;1700;892;13;-;-;79.6;76.02227880330999;600;82.19745385105028;3930.9987269255253
T-Motor;T-Motor MN601-S KV320;;998;;18;10.0;2;1157.2;5767;5737;5649;5501;5291;5025;4707;4318;3875;3372;2811;2190;1510;771;-;-;86;76.070796460177;600;87.26940581542351;3711.0657395701646
T-Motor;T-Motor MN505-S KV320;;988;;18;11.0;2;1180.8;6184;6156;6071;5930;5730;5475;5172;4801;4378;3898;3362;2769;2120;1415;644;-;85;73.84656084656085;600;86.33589065255732;3804.007054673721
T-Motor;T-Motor MN601-S KV320;;965;;19;9.0;2;1266.3;5909;5874;5768;5591;5341;5022;4642;4178;3648;3048;2376;1635;822;-;-;-;85.4;73.55613577023499;600;86.88146214099217;3638.4151436031334
T-Motor;T-Motor MN601-S KV320;;988;;18;11.0;2;1266.4;6170;6142;6057;5916;5716;5461;5158;4787;4364;3884;3348;2755;2106;1401;630;-;85.5;74.07256637168142;600;86.96424778761062;3822.162831858407
SunnySky;SunnySky X6212S-300;;988;;19;10.0;2;1254.1;5635;5601;5500;5331;5091;4787;4423;3980;3473;2899;2258;1548;772;-;-;-;82.3;76.31889081455806;600;83.91135181975737;3682.397746967071
T-Motor;T-Motor MN505-S KV320;;1056;;20;8.0;2;1162.6;5978;5936;5811;5603;5307;4931;4483;3936;3311;2602;1811;935;-;-;-;-;84.4;71.6193853427896;600;85.9896769109535;3536.654058313633
T-Motor;T-Motor MN505-S KV320;;965;;19;10.0;2;1348.6;6370;6336;6235;6066;5827;5522;5159;4715;4209;3635;2993;2284;1507;663;-;-;84.3;71.08809891808346;600;85.99706336939722;3744.561823802164
T-Motor;T-Motor MN601-S KV320;;965;;20;8.0;2;1363.2;5962;5921;5796;5587;5292;4916;4468;3920;3295;2587;1795;920;-;-;-;-;84.8;71.80094786729858;600;86.57330173775671;3551.2093206951026
T-Motor;T-Motor MN601-S KV320;;988;;19;10.0;2;1350.6;6353;6320;6218;6049;5810;5505;5142;4699;4192;3618;2976;2267;1490;646;-;-;84.7;71.26491092176607;600;86.4867544539117;3759.738187451588
SunnySky;SunnySky X6212S-300;;988;;20;9.0;2;1350.6;5728;5688;5568;5369;5086;4725;4295;3771;3172;2493;1734;895;-;-;-;-;81.7;74.21739130434783;600;83.52608695652174;3604
