marca;motor;preco;massa[g];link;diametro;passo;pa;Throttle100Pot[W];Throttle100tracao0[g];T100tracao9;T100tracao18;T100tracao27;T100tracao36;T100tracao45;T100tracao54;T100tracao63;T100tracao72;T100tracao81;T100tracao90;T100tracao99;T100tracao108;T100tracao117;T100tracao126;T100tracao135;Throttle100Ef[%];Pot≈600Throttle[%];Pot≈600Pot[W];Pot≈600Ef[%];Pot≈600Tracao[g]
Scorpion;Scorpion SII-4025-330;;-;;19;8.0;2;N/A;5735;5698;5587;5403;5144;4811;4405;3925;3370;2742;2040;1264;414;-;-;-;91.5;94;587.7;91.5;1451
Scorpion;Scorpion SII-4025-330;;1106;;18;10.0;2;1247.2;6083;6054;5965;5817;5610;5344;5019;4635;4191;3689;3127;2506;1826;1087;289;-;91.1;88;565.9;91.2;1592
T-Motor;T-Motor MN605-S KV320;;1106;;18;11.0;2;1252.7;6743;6715;6631;6490;6292;6038;5728;5361;4937;4458;3922;3329;2680;1975;1213;394;89.3;87;620.1;88.9;1740
T-Motor;T-Motor MN701-S KV280;;1065;;20;10.0;2;1371.0;6506;6467;6353;6161;5893;5549;5128;4630;4056;3406;2679;1875;995;38;-;-;90.1;95;607.6;90.1;1592
SunnySky;SunnySky X6212S-340;;1108;;19;9.0;2;1281.8;5897;5862;5756;5580;5332;5014;4626;4166;3637;3036;2365;1623;810;-;-;-;83.3;88;597.3;83.3;1451
T-Motor;T-Motor AT4130-300 (Long Shaft);;1056;;19;9.0;2;1361.3;5655;5619;5513;5337;5090;4772;4383;3924;3394;2793;2122;1380;568;-;-;-;88.1;95;566.5;87.8;1451
Scorpion;Scorpion SII-4025-330;;1163;;18;11.0;2;1154.1;6503;6475;6390;6249;6051;5797;5487;5120;4697;4217;3681;3088;2439;1734;972;154;90.8;87;606.6;90.9;1740
T-Motor;T-Motor MN605-S KV320;;1106;;19;9.0;2;1330.6;6464;6429;6323;6146;5899;5581;5192;4733;4203;3603;2931;2190;1377;494;-;-;88.8;88;562.7;88.4;1451
T-Motor;T-Motor MN505-S KV380;;1065;;19;7.0;2;1385.2;6315;6277;6161;5968;5698;5350;4926;4424;3845;3189;2456;1645;757;-;-;-;88;84;577.1;87.7;1316
T-Motor;T-Motor MN505-S KV380;;965;;18;9.0;2;1578.9;6827;6796;6703;6548;6331;6052;5711;5308;4843;4316;3727;3076;2363;1588;751;-;88.1;82;630.6;88.1;1592
T-Motor;T-Motor MN4120-400;;965;;18;7.0;2;1611.7;6026;5992;5890;5719;5481;5174;4800;4357;3846;3266;2619;1904;1120;269;-;-;90.1;87;633.3;90.1;1451
